0,File-bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation,
1,1575000000,8,278.766733,127.501883,3.141569,3.2219799335E-05,1.2786836448
2,Value,Occurrences,Fraction,,,,
3,0,6155395,0.003908,,,,
3,1,6151248,0.003906,,,,
3,2,6151815,0.003906,,,,
3,3,6154898,0.003908,,,,
3,4,6155758,0.003908,,,,
3,5,6148991,0.003904,,,,
3,6,6147708,0.003903,,,,
3,7,6152506,0.003906,,,,
3,8,6149967,0.003905,,,,
3,9,6152822,0.003907,,,,
3,10,6153672,0.003907,,,,
3,11,6153293,0.003907,,,,
3,12,6150739,0.003905,,,,
3,13,6153660,0.003907,,,,
3,14,6152199,0.003906,,,,
3,15,6151667,0.003906,,,,
3,16,6147164,0.003903,,,,
3,17,6151854,0.003906,,,,
3,18,6151911,0.003906,,,,
3,19,6149285,0.003904,,,,
3,20,6155080,0.003908,,,,
3,21,6153404,0.003907,,,,
3,22,6153097,0.003907,,,,
3,23,6148632,0.003904,,,,
3,24,6151225,0.003906,,,,
3,25,6154503,0.003908,,,,
3,26,6151345,0.003906,,,,
3,27,6149300,0.003904,,,,
3,28,6155471,0.003908,,,,
3,29,6151619,0.003906,,,,
3,30,6152253,0.003906,,,,
3,31,6148437,0.003904,,,,
3,32,6152379,0.003906,,,,
3,33,6148293,0.003904,,,,
3,34,6151404,0.003906,,,,
3,35,6150990,0.003905,,,,
3,36,6154092,0.003907,,,,
3,37,6155190,0.003908,,,,
3,38,6154230,0.003907,,,,
3,39,6153175,0.003907,,,,
3,40,6149515,0.003904,,,,
3,41,6152422,0.003906,,,,
3,42,6151850,0.003906,,,,
3,43,6147506,0.003903,,,,
3,44,6151890,0.003906,,,,
3,45,6149491,0.003904,,,,
3,46,6149946,0.003905,,,,
3,47,6155563,0.003908,,,,
3,48,6155650,0.003908,,,,
3,49,6155256,0.003908,,,,
3,50,6155376,0.003908,,,,
3,51,6149397,0.003904,,,,
3,52,6151329,0.003906,,,,
3,53,6153152,0.003907,,,,
3,54,6153632,0.003907,,,,
3,55,6160281,0.003911,,,,
3,56,6148954,0.003904,,,,
3,57,6156200,0.003909,,,,
3,58,6150813,0.003905,,,,
3,59,6152766,0.003907,,,,
3,60,6151781,0.003906,,,,
3,61,6154356,0.003908,,,,
3,62,6149531,0.003904,,,,
3,63,6152045,0.003906,,,,
3,64,6151313,0.003906,,,,
3,65,6151081,0.003905,,,,
3,66,6147189,0.003903,,,,
3,67,6157991,0.00391,,,,
3,68,6154703,0.003908,,,,
3,69,6153427,0.003907,,,,
3,70,6155313,0.003908,,,,
3,71,6146561,0.003903,,,,
3,72,6148254,0.003904,,,,
3,73,6154925,0.003908,,,,
3,74,6151869,0.003906,,,,
3,75,6151283,0.003906,,,,
3,76,6150629,0.003905,,,,
3,77,6150473,0.003905,,,,
3,78,6148499,0.003904,,,,
3,79,6156453,0.003909,,,,
3,80,6154575,0.003908,,,,
3,81,6157165,0.003909,,,,
3,82,6149751,0.003905,,,,
3,83,6153143,0.003907,,,,
3,84,6148576,0.003904,,,,
3,85,6149214,0.003904,,,,
3,86,6151825,0.003906,,,,
3,87,6152003,0.003906,,,,
3,88,6150341,0.003905,,,,
3,89,6150931,0.003905,,,,
3,90,6149606,0.003905,,,,
3,91,6148925,0.003904,,,,
3,92,6151466,0.003906,,,,
3,93,6148449,0.003904,,,,
3,94,6151453,0.003906,,,,
3,95,6154710,0.003908,,,,
3,96,6156420,0.003909,,,,
3,97,6146742,0.003903,,,,
3,98,6154491,0.003908,,,,
3,99,6155109,0.003908,,,,
3,100,6152422,0.003906,,,,
3,101,6154589,0.003908,,,,
3,102,6154470,0.003908,,,,
3,103,6154044,0.003907,,,,
3,104,6156666,0.003909,,,,
3,105,6151361,0.003906,,,,
3,106,6151368,0.003906,,,,
3,107,6152255,0.003906,,,,
3,108,6152697,0.003906,,,,
3,109,6152560,0.003906,,,,
3,110,6147504,0.003903,,,,
3,111,6150681,0.003905,,,,
3,112,6153061,0.003907,,,,
3,113,6156987,0.003909,,,,
3,114,6153197,0.003907,,,,
3,115,6152832,0.003907,,,,
3,116,6151139,0.003905,,,,
3,117,6149166,0.003904,,,,
3,118,6152416,0.003906,,,,
3,119,6158521,0.00391,,,,
3,120,6150620,0.003905,,,,
3,121,6150943,0.003905,,,,
3,122,6155475,0.003908,,,,
3,123,6154473,0.003908,,,,
3,124,6157655,0.00391,,,,
3,125,6152970,0.003907,,,,
3,126,6151094,0.003905,,,,
3,127,6152010,0.003906,,,,
3,128,6154112,0.003907,,,,
3,129,6153661,0.003907,,,,
3,130,6153257,0.003907,,,,
3,131,6150832,0.003905,,,,
3,132,6153770,0.003907,,,,
3,133,6154903,0.003908,,,,
3,134,6150718,0.003905,,,,
3,135,6151085,0.003905,,,,
3,136,6157456,0.003909,,,,
3,137,6149279,0.003904,,,,
3,138,6153567,0.003907,,,,
3,139,6153154,0.003907,,,,
3,140,6151462,0.003906,,,,
3,141,6152032,0.003906,,,,
3,142,6148594,0.003904,,,,
3,143,6150498,0.003905,,,,
3,144,6150743,0.003905,,,,
3,145,6155705,0.003908,,,,
3,146,6147819,0.003903,,,,
3,147,6147988,0.003903,,,,
3,148,6150415,0.003905,,,,
3,149,6153241,0.003907,,,,
3,150,6153948,0.003907,,,,
3,151,6148668,0.003904,,,,
3,152,6156128,0.003909,,,,
3,153,6152478,0.003906,,,,
3,154,6150889,0.003905,,,,
3,155,6152298,0.003906,,,,
3,156,6152137,0.003906,,,,
3,157,6152858,0.003907,,,,
3,158,6155394,0.003908,,,,
3,159,6157365,0.003909,,,,
3,160,6152709,0.003906,,,,
3,161,6152352,0.003906,,,,
3,162,6155239,0.003908,,,,
3,163,6150193,0.003905,,,,
3,164,6153627,0.003907,,,,
3,165,6155455,0.003908,,,,
3,166,6155682,0.003908,,,,
3,167,6150945,0.003905,,,,
3,168,6150090,0.003905,,,,
3,169,6151000,0.003905,,,,
3,170,6150069,0.003905,,,,
3,171,6153622,0.003907,,,,
3,172,6153791,0.003907,,,,
3,173,6154214,0.003907,,,,
3,174,6150475,0.003905,,,,
3,175,6150704,0.003905,,,,
3,176,6149844,0.003905,,,,
3,177,6152578,0.003906,,,,
3,178,6152103,0.003906,,,,
3,179,6155085,0.003908,,,,
3,180,6154259,0.003907,,,,
3,181,6151931,0.003906,,,,
3,182,6149804,0.003905,,,,
3,183,6151266,0.003906,,,,
3,184,6151706,0.003906,,,,
3,185,6154033,0.003907,,,,
3,186,6156288,0.003909,,,,
3,187,6150009,0.003905,,,,
3,188,6153687,0.003907,,,,
3,189,6149947,0.003905,,,,
3,190,6157737,0.00391,,,,
3,191,6149683,0.003905,,,,
3,192,6150070,0.003905,,,,
3,193,6155819,0.003908,,,,
3,194,6151184,0.003906,,,,
3,195,6152485,0.003906,,,,
3,196,6154346,0.003908,,,,
3,197,6152512,0.003906,,,,
3,198,6148520,0.003904,,,,
3,199,6154284,0.003907,,,,
3,200,6151288,0.003906,,,,
3,201,6155488,0.003908,,,,
3,202,6150035,0.003905,,,,
3,203,6153781,0.003907,,,,
3,204,6150624,0.003905,,,,
3,205,6155247,0.003908,,,,
3,206,6147278,0.003903,,,,
3,207,6150076,0.003905,,,,
3,208,6152951,0.003907,,,,
3,209,6156216,0.003909,,,,
3,210,6149352,0.003904,,,,
3,211,6155966,0.003909,,,,
3,212,6152684,0.003906,,,,
3,213,6155393,0.003908,,,,
3,214,6152481,0.003906,,,,
3,215,6156920,0.003909,,,,
3,216,6150458,0.003905,,,,
3,217,6152683,0.003906,,,,
3,218,6151813,0.003906,,,,
3,219,6153129,0.003907,,,,
3,220,6150386,0.003905,,,,
3,221,6151813,0.003906,,,,
3,222,6150604,0.003905,,,,
3,223,6153644,0.003907,,,,
3,224,6153245,0.003907,,,,
3,225,6153112,0.003907,,,,
3,226,6151958,0.003906,,,,
3,227,6151912,0.003906,,,,
3,228,6152298,0.003906,,,,
3,229,6151399,0.003906,,,,
3,230,6152304,0.003906,,,,
3,231,6152152,0.003906,,,,
3,232,6156269,0.003909,,,,
3,233,6149138,0.003904,,,,
3,234,6152944,0.003907,,,,
3,235,6147815,0.003903,,,,
3,236,6146414,0.003902,,,,
3,237,6148716,0.003904,,,,
3,238,6150315,0.003905,,,,
3,239,6156464,0.003909,,,,
3,240,6152088,0.003906,,,,
3,241,6148517,0.003904,,,,
3,242,6151024,0.003905,,,,
3,243,6151743,0.003906,,,,
3,244,6154201,0.003907,,,,
3,245,6156410,0.003909,,,,
3,246,6152511,0.003906,,,,
3,247,6153796,0.003907,,,,
3,248,6151848,0.003906,,,,
3,249,6155760,0.003908,,,,
3,250,6152617,0.003906,,,,
3,251,6157255,0.003909,,,,
3,252,6149764,0.003905,,,,
3,253,6158386,0.00391,,,,
3,254,6150929,0.003905,,,,
3,255,6153178,0.003907,,,,
